Neighborhood,Latitude,Longitude
Roslindale,42.2832,-71.127
Jamaica Plain,42.3097,-71.1151
Mission Hill,42.3296,-71.1062
Longwood,42.3358,-71.1077
Bay Village,42.349,-71.0698
Leather District,42.3505,-71.0579
Chinatown,42.3501,-71.0624
North End,42.3647,-71.0542
Roxbury,42.3152,-71.0914
South End,42.3388,-71.0765
Back Bay,42.3503,-71.081
East Boston,42.3702,-71.0389
Charlestown,42.3782,-71.0602
West End,42.3644,-71.0661
Beacon Hill,42.3588,-71.0707
Downtown,42.3557,-71.0572
Fenway-Kenmore,42.3429,-71.1003
Brighton,42.3464,-71.1627
West Roxbury,42.2798,-71.1627
Hyde Park,42.2565,-71.1241
Mattapan,42.2771,-71.0914
Dorchester,42.3016,-71.0676
South Boston Waterfront,42.3529,-71.0448
South Boston,42.3381,-71.0476
Allston,42.3539,-71.1337
Harbor Islands,42.3602,-71.0524
